Province,District,"Milking Cows
No.",Milking Buffa-loes No.,Cow Milk,Buffaloes Milk,"Total Milk
Produced"
1,BHOJPUR,15026,17251,8373,9686,18059
1,DHANKUTA,15273,5922,10040,3946,13986
1,ILAM,24032,7577,26292,5927,32219
1,JHAPA,54000,26610,58345,23339,81684
1,KHOTANG,13809,17280,7623,9975,17598
1,MORANG,75250,36628,83410,32287,115697
1,OKHALDHUNGA,8295,14398,4805,9438,14243
1,PANCHTHAR,15889,12292,10228,8538,18766
1,SANKHUWASABHA,15289,11628,9108,7370,16478
1,SOLUKHUMBU,7292,11437,4310,6841,11152
1,SUNSARI,53672,57186,61219,52949,114168
,1 TAPLEJUNG,7442,5108,4067,2924,6991
1,TERHATHUM,9398,8995,6095,5771,11866
1,UDAYAPUR,20800,33383,16603,24023,40627
,SUBTOTAL PROVINCE 1,335466,265695,310517,203015,513532
Madhesh,BARA,25265,53304,23761,49233,72993
Madhesh,DHANUSHA,24091,22154,21503,20245,41748
Madhesh,MAHOTTARI,20467,23374,17318,21346,38664
Madhesh,PARSA,14227,18753,14271,17975,32246
Madhesh,RAUTAHAT,20655,26728,15322,25024,40346
Madhesh,SAPTARI,39982,62321,34007,59333,93340
Madhesh,SARLAHI,34490,31063,29185,29583,58767
Madhesh,SIRAHA,15075,29819,10855,28489,39344
,SUBTOTAL MADHESH,194253,267517,166222,251227,417448
,Bagmati BHAKTAPUR,4648,2987,7346,2891,10236
Bagmati,CHITWAN,17811,25399,27377,25372,52749
Bagmati,DHADING,20815,30583,19421,24740,44161
Bagmati,DOLAKHA,11387,18757,8822,15645,24467
Bagmati,KATHMANDU,9880,13294,16012,13242,29254
Bagmati,KABHREPALANCHOK,25523,"50,699",29647,"51,188",80835
Bagmati,LALITPUR,4083,"21,009",4802,"25,316",30118
Bagmati,MAKWANPUR,20176,"36,054",20519,"30,768",51288
Bagmati,NUWAKOT,20513,"31,603",18707,"25,289",43996
Bagmati,RAMECHHAP,10408,"14,226",9690,"11,381",21072
Bagmati,RASUWA,2059,"1,769",1193,"1,100",2293
Bagmati,SINDHULI,21305,"21,333",20934,"17,794",38728
Bagmati,SINDHUPALCHOK,9408,"21,136",7221,"18,724",25945
,SUBTOTAL BAGMATI,178016,"288,849",191692,"263,449",455141
Gandaki,BAGLUNG,4498,"25,786",3240,"24,466",27706
Gandaki,GORKHA,12248,"19,573",8538,"18,635",27174
,Gandaki KASKI,11254,"20,128",12404,"23,922",36326
Gandaki,LAMJUNG,4747,"14,239",3471,"12,489",15960
Gandaki,MANANG,369,-,165,-,165
Gandaki,MUSTANG,1096,35,609,17,626
Gandaki,MYAGDI,5027,"7,194",2912,"5,173",8085
Gandaki,NAWALPARASI EAST,17518,"23,630",19170,"25,119",44289
Gandaki,PARBAT,3391,"8,727",2594,"8,355",10950
Gandaki,SYANGJA,5242,"35,862",3739,"33,388",37127
Gandaki,TANAHUN,11860,"17,806",9622,"19,272",28894
,SUBTOTAL GANDAKI,77251,"172,980",66464,"170,837",237302
Lumbini,ARGHAKHANCHI,5727,"28,176",4226,"25,823",30050
Lumbini,BANKE,35090,"57,825",32604,"49,753",82357
Lumbini,BARDIYA,18733,"45,863",18314,"38,338",56652
,Lumbini DANG,22669,"44,581",17879,"36,780",54659
Lumbini,GULMI,7035,"15,009",4759,"12,564",17323
Lumbini,KAPILBASTU,25217,"42,917",25149,"38,405",63554
Lumbini,NAWALPARASI WEST,12714,"21,591",13134,"20,191",33325
Lumbini,PALPA,11897,"27,754",9453,"25,086",34538
Lumbini,PYUTHAN,11808,21689,7093,17317,24411
Lumbini,ROLPA,16936,15709,10134,11017,21151
Lumbini,RUKUM EAST,2638,5133,1583,4236,5819
Lumbini,RUPANDEHI,19291,54406,23179,48814,71993
,SUBTOTAL LUMBINI,189755,380652,167506,328326,495832
Karnali,DAILEKH,12175,18550,7322,12808,20130
Karnali,DOLPA,3346,1017,1616,580,2196
Karnali,HUMLA,2597,863,1254,488,1743
Karnali,JAJARKOT,5920,9300,2861,6388,9249
Karnali,JUMLA,9114,1060,4646,637,5283
Karnali,KALIKOT,3395,8712,1718,4921,6639
Karnali,MUGU,5568,3933,2817,2352,5169
Karnali,RUKUM WEST,3992,14778,2713,10542,13255
Karnali,SALYAN,19312,22123,13336,16885,30220
Karnali,SURKHET,8542,14309,6533,11695,18228
,SUBTOTAL KARNALI,73961,94644,44817,67295,112112
Sudurpaschim,ACHHAM,7478,9395,3879,7131,11010
Sudurpaschim,BAITADI,19431,15272,11623,11601,23224
Sudurpaschim,BAJHANG,13190,8812,7423,6089,13512
Sudurpaschim,BAJURA,14534,6033,7442,4185,11627
Sudurpaschim,DADELDHURA,15292,6082,9217,4648,13865
Sudurpaschim,DARCHULA,10407,7802,4632,4845,9477
Sudurpaschim,DOTI,17636,16114,10573,12812,23385
Sudurpaschim,KAILALI,35665,53956,33867,49776,83643
Sudurpaschim,KANCHANPUR,26707,36838,24614,34175,58788
,SUBTOTAL SUDURPASCHIM,160339,160304,113269,135263,248532
,NEPAL TOTAL,1209041,1630642,1060487,1419412,2479899
