CATEGORY,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21
CATTLE,6978690 ,6953584 ,6966436 ,6994463 ,7002916 ,7044279 ,7090714 ,7175198 ,7199260 ,7226050 ,7244944 ,7274022 ,7243916 ,7241743 ,7302808 ,7347487 ,7376306 ,7385035 ,7458885 ,7466841 
BUFFALOES,3700864 ,3840013 ,3952654 ,4081463 ,4204886 ,4366813 ,4496507 ,4680486 ,4836984 ,4993650 ,5133139 ,5241873 ,5178612 ,5167737 ,5168809 ,5177998 ,5277819 ,5308664 ,5257591 ,5159931 
SHEEP,840141 ,828286 ,824187 ,816727 ,812085 ,813621 ,809480 ,802993 ,801371 ,805070 ,807267 ,809536 ,789216 ,789292 ,800658 ,801975 ,800749 ,798889 ,806079 ,793725 
GOAT,6606858 ,6791861 ,6979875 ,7153527 ,7421624 ,7847624 ,8135880 ,8473082 ,8844172 ,9186440 ,9512958 ,9786354 ,10177531 ,10251569 ,10986114 ,11165099 ,11647319 ,12283752 ,12811953 ,13442614 
PIGS,934461 ,932192 ,935076 ,947711 ,960827 ,989429 ,1013359 ,1044498 ,1064858 ,1108465 ,1137489 ,1160035 ,1190138 ,1203230 ,1291308 ,1328036 ,1435369 ,1488338 ,1519593 ,1588838 
FOWL,21370420 ,22260700 ,23023979 ,22790224 ,23221439 ,23924630 ,24665820 ,24481286 ,25760373 ,40000000 ,45171185 ,47959239 ,48079406 ,50195285 ,68630638 ,70007151 ,72245732 ,75709330 ,82598879 ,73418077 
DUCK,408584 ,408311 ,405217 ,391855 ,392895 ,394798 ,390748 ,383123 ,379753 ,378050 ,376916 ,375975 ,390209 ,390287 ,392255 ,394775 ,404670 ,416400 ,427226 ,432226 
MILKING COW,852790 ,870589 ,888190 ,902286 ,903376 ,908712 ,915411 ,932876 ,954680 ,974122 ,998963 ,1025591 ,1024513 ,1025947 ,1026135 ,1029529 ,1039538 ,1078775 ,1166156 ,1209041 
"MILKING
BUFFALOES",958530 ,988035 ,1015727 ,1050977 ,1084764 ,1124454 ,1158300 ,1211495 ,1252770 ,1291644 ,1331037 ,1369796 ,1345837 ,1345164 ,1355384 ,1509512 ,1535948 ,1560584 ,1635492 ,1630642 
LAYING HEN,6453860 ,6622558 ,6676954 ,6643350 ,6769050 ,6962076 ,7153088 ,7124054 ,7290875 ,7478645 ,7907468 ,8233616 ,8350237 ,8412247 ,12353515 ,12388889 ,12517558 ,12526979 ,12927842 ,11374011 
LAYING DUCK,214090 ,213751 ,211838 ,183208 ,183690 ,184608 ,182753 ,179187 ,175300 ,175150 ,174978 ,174714 ,179447 ,179480 ,180927 ,183940 ,186912 ,190747 ,191701 ,220532 
