Products,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21
Cow Milk,352090 ,361555 ,368531 ,379637 ,385290 ,392791 ,400950 ,413919 ,429030 ,447185 ,468913 ,492379 ,532300 ,587719 ,643806 ,665285 ,754126 ,795530 ,920400 ,1060487 
Buff Milk,806690 ,834376 ,863322 ,894591 ,926850 ,958603 ,987780 ,1031500 ,1066867 ,1109325 ,1153838 ,1188433 ,1167773 ,1168006 ,1210441 ,1245954 ,1338277 ,1372905 ,1380600 ,1419412 
Buff Meat,127495 ,130791 ,133600 ,138953 ,142040 ,147031 ,151209 ,156627 ,162213 ,167868 ,172414 ,175132 ,173906 ,174012 ,175005 ,180080 ,185180 ,188574 ,189517 ,188172 
Mutton,2823 ,2792 ,2779 ,2744 ,2737 ,2747 ,2725 ,2711 ,2691 ,2722 ,2720 ,2721 ,2656 ,2658 ,2684 ,2714 ,2754 ,2763 ,2735 ,2964 
Chevon,38584 ,39664 ,40540 ,41698 ,42820 ,44933 ,46570 ,48472 ,49851 ,52809 ,53956 ,55578 ,59053 ,60906 ,65583 ,67706 ,70802 ,73914 ,75023 ,70755 
Pork,15594 ,15626 ,15389 ,15724 ,15773 ,16035 ,16453 ,16992 ,17066 ,17923 ,18277 ,18709 ,19269 ,20135 ,23509 ,24535 ,28214 ,28579 ,29493 ,31450 
Chicken,14118 ,14756 ,15881 ,15461 ,15605 ,16126 ,16712 ,16662 ,16527 ,36085 ,40346 ,42810 ,43133 ,45458 ,55041 ,57268 ,60122 ,62899 ,255001 ,226959 
Duck,281 ,270 ,223 ,237 ,230 ,233 ,231 ,226 ,225 ,218 ,217 ,217 ,227 ,232 ,237 ,241 ,280 ,353 ,387 ,442 
Hen Egg,522760 ,541725 ,560033 ,576521 ,587219 ,600966 ,617455 ,616312 ,629793 ,691070 ,788310 ,874194 ,859515 ,865947 ,1294166 ,1338312 ,1498024 ,1534680 ,1604526 ,1475620 
Duck Egg,15660 ,15636 ,15532 ,13616 ,13581 ,13882 ,13798 ,13628 ,13410 ,13065 ,13060 ,13046 ,13403 ,13554 ,13906 ,13984 ,14241 ,15009 ,15474 ,17930 
